Año,Fecha,Estado,Organizacion,Unidad,Sector,Nombre_Interaccion,ID_Proyecto,Categoria,Tipo,Impacto Directo,Impacto Indirecto,Asistentes,Tipo de participación,Justificación de asistencia de EC,Resultado del evento,
2025,20/03/2025,QRO,LIDER EMPRESARIAL,NA,Sector Privado,"Panel Lider Empresarial: Inteligencia Artificial, Digitalización y Ciberseguridad",NA,Transferencia de conocimiento,Panel,30,,Luis B.,,,,
2025,21/03/2025,QRO,ITESM QRO,AREA CENTRAL,Institución Académica,Link Day ITESM,NA,Estratégica,Evento,,,David P. y Maryel D.,,,,
2025,25/03/2025,GDL,CANIETI,NA,Cluster,Asamblea Socios CANIETI,NA,Estratégica,Mesa de trabajo,,,,,,,
2025,26/03/2025,CDMX,SUMMIT,NA,Cluster,Panel: From Assembly to Innovation Hubs  David Pineda CDMX- Mexico Nearshoring Summit 2025 ,NA,Transferencia de conocimiento,Panel,80,,David P. ,panelista,,,
2025,27/03/2025,QRO,ITESM QRO,CIMA,Institución Académica,Visita CIMA,PQ_24,Estratégica,Visita,,,Maryel D. ,,,,
2025,04/04/2025,GDL,GOB JALISCO,NA,Gobierno,Lanzamiento de la Agenda de Crecimiento y Desarrollo Económico de Jalisco 2024-2030 -,NA,Estratégica,Evento,,,,,,,
2025,04/04/2025,GDL,UDG,CUCEA,Institución Académica,Hub de movilidad - Aliado estratégico LL CUCEA ,NA,Estratégica,Reunión,,,,asistente,,,
2025,03/04/2025,GDL,ITESM GDL,SOCIO FORMADOR,Institución Académica,HR Connections ,NA,Relacionamiento,Evento,,,Edú L.,,,,
2025,04/04/2025,GDL,IBM,NA,Sector Privado,"Talent Connect- WS Contiagents coaches para industria (IBM, Oracle)",NA,Estratégica,Evento,,,Luis B. / Jarumi R. / Andrea M.,,,,
2025,10/04/2025,QRO,COPARMEX,NA,Cluster,"Mesa Redonda ""Ecosistema de innovación Heillbron"" COPARMEX",NA,Estratégica,Mesa de trabajo,,,Maryel D. ,panelista,,,
2025,24/04/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,"Reunión mensual del equipo operativo - Comisión de innovación, investigación y emprendimiento distritoQRO",PQ_8,Estratégica,Reunión,,,Maryel D.,asistente,,,
2025,05/05/2025,GDL,IIEG,NA,Gobierno,Hub de movilidad - Aliado estratégico IIEG,PG_23,Estratégica,Reunión,,,Luis B. / Jarumi R,,,,
2025,05/05/2025,GDL,SEJ,NA,Gobierno,Reunión con SEJ,NA,Estratégica,Reunión,,,Edú L. / Elisa T,,,,
2025,05/05/2025,GDL,ITESM GDL,EGADE,Institución Académica,Diálogos EGADE CEOs y Alta Dirección de Coyuntura Binacional,NA,Estratégica,Mesa de trabajo,,,Elisa T.,,,,
2025,08/05/2025,QRO,UPQ,NA,Institución Académica,Sesión de seguimiento: Reunión Vinculación UPQ | Contiagents,PQ_20,Estratégica,Reunión,,,"ContiAgents Sergio M,",asistente,,,
2025,08/05/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,"Reunión mensual del equipo operativo - Comisión de innovación, investigación y emprendimiento distritoQRO",PQ_8,Estratégica,Reunión,,,Maryel D.,speaker,,,
2025,14/05/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Visita | Reunión Distrito Qro,PQ_8,Estratégica,Reunión,,,David P. y Maryel D.,asistente,,,
2025,14/05/2025,QRO,"BLOQUE, SEDECO",NA,Gobierno,Reunión BLOQUE Y SEDECO,NA,Estratégica,Reunión,,,Maryel D.,asistente,,,
2025,15/05/2025,QRO,ITESM QRO,CIMA,,Visita Tec de Monterrey Proyecto CIMA,PQ_24,Estratégica,Visita,,,,,,,
2025,16/05/2025,QRO,ITESM QRO,ESCUELA DE INGENIERIA,Institución Académica,Visita /Reunión Tec de monterrey a Conti | Estancias IA,PQ_1,Estratégica,Reunión,,,David P. y Maryel D.,panelista,,,
2025,20/05/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Workshop Inc Monterrey Roadshow Qro,PQ_8,Relacionamiento,Workshop,84,2100,Luis B. / Maryel D. / ContiAgent Jonathan H.,panelista,,,
2025,22/05/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Cluster,Reunión Consejo Distrito Qro,PQ_8,Estratégica,Reunión,,,David P. y Maryel D.,asistente,,,
