YEAR,LOCATION,RESOURCE,TYPE OF SUPPORT,FUNDING PROGRAM,MODALIDAD,ENTITY,"GOVERNMENT PROJECT 
ID",PROJECT NAME,STARTING DATE,"CLOSING 
DATE",EXTENSION,"TOTAL PROJECT AMOUNT
MXN","FEDERAL SUPPORT
MXN","STATE SUPPORT
MXN","GOVERNMENT SUPPORT
MXN","CONTINENTAL 
PAYMENT 
MXN",NEW HIRES,STATUS,FECHA CARTA FINIQUITO,"VENCIMIENTO 
DE PROYECTO",AUDITABLE,"DESTRUCCION 
DE 
EXPEDIENTE"
2015,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,N/A,COECYTJAL,4394-2015,23 Patent Applications,01/01/2015,30/06/2016,NA,"$1,265,000.00",$0.00,"$1,265,000.00","$1,265,000.00",$0.00,0,CLOSED,14/12/2016,14/12/2021,No Auditable,15/12/2021
2015,GDL,STATE,Prototype,PROVEMUS,N/A,COECYTJAL,3173-2015,DRONES,15/04/2015,14/10/2015,28-may-16,"$318,374.00",$0.00,"$159,187.00","$159,187.00","$159,187.00",0,CLOSED,15/02/2017,15/02/2022,No Auditable,16/02/2022
2015,GDL,STATE,Prototype,PROVEMUS,N/A,COECYTJAL,3185-2015,MULTIAGENTES,06/04/2015,05/10/2015,19-may-16,"$299,046.00",$0.00,"$149,523.00","$149,523.00","$149,523.00",0,CLOSED,15/02/2017,15/02/2022,No Auditable,16/02/2022
2016,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,230718,INTERIOR,01/01/2016,31/12/2016,NA,$0.00,$0.00,$0.00,$0.00,$0.00,5,CANCELLED,NA,NA,NA,NA
2016,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL","15769
4927",JALISCO,10/10/2016,10/10/2017,09-feb-18,"$20,270,662.25",$0.00,"$5,000,000.00","$5,000,000.00","$15,270,662.25",100,CLOSED,"Federal: 22-Ene-19
Estatal: 21-Nov-19",21/11/2024,No Auditable,22/11/2024
2016,GDL,FEDERAL,Infrastructure,PROSOFT,NA,SE,201615768,CANIETI,30/08/2016,30/08/2017,28-feb-18,"$19,182,780.13","$4,795,695.03",$0.00,"$4,795,695.03","$14,387,085.10",100,CLOSED,16/12/2019,16/12/2024,No Auditable,17/12/2024
2016,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,N/A,COECYTJAL,5086-2016,24 Patent Applications,01/01/2016,29/06/2017,NA,"$1,575,000.00",$0.00,"$1,575,000.00","$1,575,000.00",$0.00,0,CLOSED,18/11/2017,18/11/2022,No Auditable,19/11/2022
2017,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,242164,Innovatec ADAS,01/01/2017,31/12/2017,NA,$0.00,$0.00,$0.00,$0.00,$0.00,8,CANCELLED,NA,NA,NA,NA
2017,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,243371,Innovatec PSS,01/01/2017,31/12/2017,NA,$0.00,$0.00,$0.00,$0.00,$0.00,9,CANCELLED,NA,NA,NA,NA
2017,GDL,FEDERAL,Prototype,TAX INCENTIVES,NA,"CONACYT / 
SHCP",837,ADAS,01/01/2017,31/12/2017,NA,"$5,266,655.16","$1,437,637.57",$0.00,"$1,437,637.57","$3,829,017.59",0,CLOSED,TBD,TBD,No Auditable,TBD
2017,GDL,FEDERAL,Prototype,TAX INCENTIVES,NA,"CONACYT / 
SHCP",952,PSS,01/01/2017,31/12/2017,NA,"$6,574,638.03","$1,794,677.34",$0.00,"$1,794,677.34","$4,779,960.69",0,CLOSED,TBD,TBD,No Auditable,TBD
2017,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,N/A,COECYTJAL,5772-2017,26 Patent Applications,01/01/2017,29/06/2018,NA,"$1,650,000.00",$0.00,"$1,650,000.00","$1,650,000.00",$0.00,0,CLOSED,23/11/2018,23/11/2023,No Auditable,24/11/2023
2017,GDL,STATE,Prototype,PROSOFT JAL,N/A,COECYTJAL,6267,HEV,01/07/2017,30/06/2018,NA,"$11,165,857.00",$0.00,"$3,000,000.00","$3,000,000.00","$8,165,857.00",20,CLOSED,24/10/2019,24/10/2024,No Auditable,25/10/2024
2017,QRO ,STATE,Infrastructure,PROFIGE,NA,SEDESU,NA,Infraestructura,24/10/2016,31/12/2022,NA,"$5,000,000.00",$0.00,"$5,000,000.00","$5,000,000.00",$0.00,0,CLOSED,31/12/2022,31/12/2029,No Auditable,01/01/2030
2017,QRO ,STATE,Infrastructure,PROFIGE,NA,SEDESU,NA,Innovation Arena,24/10/2016,31/12/2022,NA,"$5,000,000.00",$0.00,"$5,000,000.00","$5,000,000.00",$0.00,0,CLOSED,31/12/2022,31/12/2029,No Auditable,01/01/2030
2017,QRO ,STATE,TEC´s Office Rentals,PROFIGE,NA,SEDESU,NA,Renta Oficinas,24/10/2016,31/12/2022,NA,"$1,300,000.00",$0.00,"$1,300,000.00","$1,300,000.00",$0.00,0,CLOSED,31/12/2022,31/12/2029,No Auditable,01/01/2030
2018,GDL,STATE,Prototype,PROSOFT JAL,NA,COECYTJAL,6797-2018,HEV,01/07/2018,30/06/2019,NA,$0.00,$0.00,$0.00,$0.00,$0.00,5,DECLINED,NA,NA,NA,NA
2018,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,N/A,COECYTJAL,6905-2018,26 Patent Applications,01/01/2018,28/06/2019,NA,"$1,315,800.00",$0.00,"$1,315,800.00","$1,315,800.00",$0.00,0,CLOSED,TBD,TBD,No Auditable,TBD
2018,GDL,FEDERAL,Prototype,TAX INCENTIVES,NA,CONACYT,7872410,48 V,01/01/2018,31/12/2018,NA,$0.00,$0.00,$0.00,$0.00,$0.00,5,DECLINED,NA,NA,NA,NA
2018,QRO ,STATE,Prototype,PEDETI,NA,SEDESU,2018-009,Active Noise Cancellation,01/08/2018,31/07/2019,NA,$0.00,$0.00,$0.00,$0.00,$0.00,20,DECLINED,NA,NA,NA,NA
2019,QRO ,STATE,Prototype,PEDETI,NA,SEDESU,2019-005,ANC,18/07/2019,18/07/2020,18-dic-20,"$3,049,230.00",$0.00,"$1,524,615.00","$1,524,615.00","$1,524,615.00",2,CLOSED,21/12/2020,21/12/2027,No Auditable,22/12/2027
2019,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,N/A,COECYTJAL,7698-2019,26 Patent Applications,01/01/2019,30/06/2020,NA,"$1,650,000.00",$0.00,"$1,650,000.00","$1,650,000.00",$0.00,0,CLOSED,22/01/2021,22/01/2026,No Auditable,23/01/2026
2020,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,NA,COECYTJAL,8924-2020,26 Patent Applications,01/01/2020,30/06/2021,NA,"$1,650,000.00",$0.00,"$1,650,000.00","$1,650,000.00",$0.00,0,CLOSED,null,null,null,null
2020,GDL,STATE,Events,DYD,NA,COECYTJAL,9203-2020,Tech Show,09/11/2020,09/07/2021,08-abr-22,"$92,700.00",$0.00,"$64,890.00","$64,890.00","$27,810.00",0,CLOSED,30/06/2022,30/06/2027,No Auditable,01/07/2027
2020,GDL,STATE,Prototype,PROINNJAL   ,NA,COECYTJAL,9211-2020,Autonomous Driving,19/11/2020,19/11/2021,19-may-22,"$9,501,679.00",$0.00,"$3,800,671.60","$3,800,671.60","$5,701,007.40",0,CLOSED,null,null,null,null
2020,GDL,STATE,Knowledge,TAE,NA,COECYTJAL,NA,TAE,01/11/2020,01/11/2021,NA,"$4,967,941.01",$0.00,"$3,577,355.32","$3,577,355.32","$1,390,585.69",0,CLOSED,NA,NA,NA,NA
2020,QRO ,STATE,New Hires,PROFIGE,NA,SEDESU,NA,Empleos,24/10/2016,31/12/2022,NA,"$1,000,000.00",$0.00,"$1,000,000.00","$1,000,000.00",,0,CLOSED,31/12/2022,31/12/2029,No Auditable,01/01/2030
2021,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,NA,COECYTJAL,8924-2020,26 Patent Applications,01/01/2021,30/06/2022,NA,"$1,650,000.00",$0.00,"$1,650,000.00","$1,650,000.00",$0.00,0,CLOSED,null,null,null,null
2021,GDL,STATE,Prototype,PROINNJAL   ,NA,COECYTJAL,9211-2020,Telematics platform,11/10/2021,11/10/2022,11-jul-23,"$9,333,205.60",$0.00,"$3,266,621.00","$3,266,621.00","$6,066,584.60",7,CLOSED,null,null,null,null
2021,QRO ,STATE,New Hires,PROFIGE,NA,SEDESU,9211-2020,Empleos,24/10/2016,31/12/2022,NA,"$1,000,000.00",$0.00,"$1,000,000.00","$1,000,000.00",$0.00,0,CLOSED,31/12/2022,31/12/2029,No Auditable,01/01/2030
2021,QRO ,STATE,New Hires,PROFIGE,NA,SEDESU,9211-2020,Empleos,24/10/2016,31/12/2022,NA,"$2,000,000.00",$0.00,"$2,000,000.00","$2,000,000.00",$0.00,534,CLOSED,31/12/2022,31/12/2029,No Auditable,01/01/2030
2021,QRO ,STATE,Infrastructure,PROFIGE,NA,SEDESU,9211-2020,Infraestructura,24/10/2016,31/12/2022,NA,"$2,000,000.00",$0.00,"$2,000,000.00","$2,000,000.00",$0.00,0,CLOSED,31/12/2022,31/12/2029,Auditable,01/01/2030
2021,QRO ,STATE,Prototype,PEDETI,NA,SEDESU,9211-2020,Intelligent intersection,16/11/2021,16/11/2022,25-may-23,"$321,092.68",$0.00,"$160,546.34","$160,546.34","$160,546.34",0,CLOSED,null,null,null,null
2022,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,NA,COECYTJAL,10166-2022,22 Patent Applications,01/01/2022,30/06/2023,NA,"$1,524,600.00",$0.00,"$1,524,600.00","$1,524,600.00",$0.00,0,CLOSED,null,null,null,null
2022,GDL,STATE,Knowledge,TAE,NA,COECYTJAL,10324-2022,Programa de Formación de Talento Altamente Especializado de Continental,01/11/2022,01/11/2023,NA,"$3,705,236.52",$0.00,"$1,852,618.26","$1,852,618.26","$1,852,618.26",0,CLOSED,null,null,null,null
2023,GDL,STATE,Knowledge,TAE,NA,COECYTJAL,10725-2023,Programa de Alta Especialización de Perfiles Tecnológicos de Continental 2023,15/08/2023,15/08/2024,21-oct-24,"$3,587,240.00",$0.00,"$1,793,620.00","$1,793,620.00","$1,793,620.00",0,IN CLOSING,null,null,null,null
2023,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,NA,COECYTJAL,10771-2023,22 Patent Applications,02/01/2023,28/06/2024,28-sep-24,"$1,715,600.00",$0.00,"$1,715,600.00","$1,715,600.00",$0.00,0,CLOSED,null,null,null,null
2023,GDL,STATE,Prototype,PROINNJAL,NA,COECYTJAL,10897-2023,Desarrollo de tecnologías de nueva generación para el manejo autónomo de nivel 4 seguro y fluido.,06/11/2023,06/11/2024,06-may-25,"$10,119,431.90",$0.00,"$5,000,000.00","$5,000,000.00","$5,119,431.90",21,CLOSED,null,null,null,null
2024,GDL,STATE,Knowledge,TAE,NA,COECYTJAL,11019-2024,Programa de Alta Especialización de Perfiles Tecnológicos de Continental 2024,01/04/2024,01/04/2025,NA,"$4,600,345.66",$0.00,"$2,000,000.00","$2,000,000.00","$2,600,345.66",0,IN CLOSING,null,null,null,null
2024,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,NA,COECYTJAL,11018-2024,22 Patent Applications,03/01/2024,30/06/2025,NA,"$1,731,100.00",$0.00,"$1,731,100.00","$1,731,100.00",$0.00,0,FOLLOW UP,null,null,null,null
2024,QRO ,STATE,Prototype,PEDETI,NA,SEDESU,2024-029,,31/10/2024,30/10/2025,NA,"$1,626,426.05",$0.00,"$813,213.03","$813,213.03","$813,213.03",0,FOLLOW UP,null,null,null,null
2025,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,NA,COECYTJAL,11621-2025,26 Patent Applications,,,NA,"$1,904,300.00",$0.00,"$1,904,300.00","$1,904,300.00",$0.00,0,FOLLOW UP,null,null,null,null
2025,GDL,STATE,Knowledge,TAE,NA,COECYTJAL,11620-2025,,01/07/2025,01/07/2026,NA,"$3,104,665.34",$0.00,"$1,552,332.67","$1,552,332.67","$1,552,332.67",0,FOLLOW UP,null,null,null,null
