Proyecto (TAE),Curso ,Proovedor ,RFC,Duración ,Cupo (Comprometido),Cupo (Reales) ,Monto total (ejercido),Hombres ,Mujeres ,"<=$100,000.00",">$100,000.00",Aportación Coecytjal ,% Coecytjal,Planta ,CoC,,,,,
2024,Advance Cybersecurity Program ,General Physics,GPC971119H4,62.00,5.00,5.00," $346,368.75 ",5.00,0.00,No,Sí," $122,281.25 ",35.30%,Santa Anita ,Cybersecurity,,,,,
2024,Cybersecurity in Automotive Ecosystems ,General Physics,GPC971119H4,12.00,15.00,18.00," $81,118.80 ",14.00,4.00,Sí,No," $26,516.40 ",32.69%,Santa Anita ,Cybersecurity,,,,,
2024,Mastering Threat Analysis and Risk Assessment ,General Physics,GPC971119H4,12.00,15.00,18.00," $81,118.80 ",14.00,4.00,Sí,No," $26,516.40 ",32.69%,Santa Anita ,Cybersecurity,,,,,
2024,Designing an Implementing Automotive Cyber ,General Physics,GPC971119H4,12.00,15.00,18.00," $81,118.80 ",14.00,4.00,Sí,No," $26,516.40 ",32.69%,Santa Anita ,Cybersecurity,,,,,
2024,Seguridad funcional en aplicaciones automotrices ,ITESO,ITE570731PS9,103.00,26.00,28.00," $1,036,100.00 ",25.00,3.00,No,Sí," $445,523.00 ",43.00%,Santa Anita ,Functional safety Management ,,,,,
2024,Provisional Assesor ASPICE training in person ,General Physics,GPC971119H4,32.00,28.00,28.00," $1,217,512.80 ",22.00,6.00,No,Sí," $429,828.00 ",35.30%,Santa Anita ,SW + SYS Architecture,,,,,
2024,Online Upgrade 4.0 training,General Physics,GPC971119H4,8.00,12.00,13.00," $136,659.60 ",5.00,8.00,No,Sí," $51,158.05 ",37.43%,Santa Anita ,SW + SYS Architecture,,,,,
2024,Caliope Software Architecture Training,General Physics,GPC971119H4,60.00,30.00,30.00," $389,760.00 ",30.00,0.00,No,Sí," $137,600.00 ",35.30%,Santa Anita ,SW + SYS Architecture,,,,,
2024,IREB,General Physics,GPC971119H4,24.00,12.00,12.00," $199,417.08 ",10.00,2.00,No,Sí," $70,401.75 ",35.30%,Santa Anita ,SW + SYS Architecture,,,,,
2024,UL certifie Artificial Intellingence Professional - Fundations,General Physics,GPC971119H4,16.00,15.00,15.00," $289,884.00 ",14.00,1.00,No,Sí," $102,340.00 ",35.30%,Santa Anita ,Artificial intelligence,,,,,
2024,TUXY Embbeded Linux Training,General Physics,GPC971119H4,80.00,12.00,12.00," $255,780.00 ",11.00,1.00,No,Sí," $90,300.00 ",35.30%,Santa Anita ,SW + SYS Architecture,,,,,
2024,Developing with ARM Cortex-M Online,General Physics,GPC971119H4,17.00,1.00,3.00," $88,457.25 ",3.00,0.00,Sí,No," $36,312.50 ",41.05%,Santa Anita ,Otros ,,,,,
2024,High Speed - Signal Integrity,Keysight Technologies,KTM120211BP1,40.00,5.00,7.00," $209,520.22 ",7.00,0.00,No,Sí," $77,823.90 ",37.14%,Santa Anita ,Otros ,,,,,
2024,Design for Manufacturing & Assembly (DMF/DFA)92047,General Physics,GPC971119H4,16.00,1.00,1.00," $36,235.50 ",1.00,0.00,Sí,No," $14,875.00 ",41.05%,Santa Anita ,Otros ,,,,,
2024,Certified Ethical Hacking (EC Hacking),General Physics,GPC971119H4,20.00,1.00,1.00," $13,331.01 ",1.00,0.00,Sí,No," $5,472.50 ",41.05%,Tijera,Cybersecurity,,,,,
2024,CCNA 1.0/Implementing and Administering Cisco Solutions,General Physics,GPC971119H4,36.00,1.00,1.00," $28,915.56 ",1.00,0.00,Sí,No," $11,870.10 ",41.05%,Tijera,SW + SYS Architecture,,,,,
2024,55345 Implementing and Managing Windows 11,General Physics,GPC971119H4,27.50,1.00,1.00," $21,054.96 ",1.00,0.00,Sí,No," $8,643.25 ",41.05%,Tijera,SW + SYS Architecture,,,,,
2024,ITIL Fundamnetals ,General Physics,GPC971119H4,12.00,1.00,1.00," $23,379.51 ",0.00,1.00,Sí,No," $9,597.50 ",41.05%,Tijera,SW + SYS Architecture,,,,,
2024,Excel avanzado ,General Physics,GPC971119H4,12.50,30.00,30.00," $118,170.36 ",17.00,13.00,No,Sí," $48,510.00 ",41.05%,Tijera,Otros ,,,,,
2025,Official Automotive SPICE 4.0 Upgrade ,General Physics,GPC971119H4,2.00,9.00,11.00," $75,600.00 ",6.00,5.00,Sí,No," $34,363.62 ",45.45%,Santa Anita ,Otros ,,,,,
2025,Automotive SPICE Hardware Engineering (intacs-certified),General Physics,GPC971119H4,3.00,6.00,6.00," $184,800.00 ",1.00,5.00,No,Sí," $84,000.00 ",45.45%,Santa Anita ,Otros ,,,,,
2025,Certificación Stanford (Cybersecurity - All - Access),General Physics,GPC971119H4,187.00,3.00,3.00," $215,820.00 ",3.00,0.00,No,Sí," $98,100.00 ",45.45%,Santa Anita ,Cybersecurity,,,,,
2025,Threat Analysis and Risk Assesment Hands On ,General Physics,GPC971119H4,3.00,8.00,8.00," $57,200.00 ",7.00,1.00,Sí,No," $26,000.00 ",45.45%,Santa Anita ,Cybersecurity,,,,,
2025,Designing and Implementing,General Physics,GPC971119H4,3.00,8.00,8.00," $57,200.00 ",7.00,1.00,Sí,No," $26,000.00 ",45.45%,Santa Anita ,Cybersecurity,,,,,
2025,Cybersecurity in Automotive Ecosystems ,ITESO,ITE570731PS9,3.00,8.00,8.00," $57,200.00 ",7.00,1.00,Sí,No," $26,000.00 ",45.45%,Santa Anita ,Cybersecurity,,,,,
2025,Seguridad en Embebidos automotrices,ITESO,ITE570731PS9,203.00,15.00,16.00," $526,000.05 ",15.00,1.00,No,Sí," $263,000.00 ",50.00%,Santa Anita ,Cybersecurity,,,,,
2025,Seguridad funcional en aplicaciones automotrices ,General Physics,GPC971119H4,199.00,15.00,18.00," $610,000.13 ",14.00,4.00,No,Sí," $305,000.00 ",50.00%,Santa Anita ,Functional safety Management ,,,,,
2025,Linux,General Physics,GPC971119H4,61.00,15.00,11.00," $467,775.00 ",10.00,1.00,No,Sí," $212,625.00 ",45.45%,Santa Anita ,SW + SYS Architecture,,,,,
2025,SysML - Modelado de sistemas,General Physics,GPC971119H4,11.00,7.00,7.00," $127,050.00 ",7.00,0.00,No,Sí," $57,750.00 ",45.45%,Santa Anita ,SW + SYS Architecture,,,,,
2025,Rhapsody,General Physics,GPC971119H4,11.00,13.00,13.00," $480,480.00 ",12.00,1.00,No,Sí," $218,400.00 ",45.45%,Santa Anita ,SW + SYS Architecture,,,,,
2025,Model based engineering,General Physics,GPC971119H4,25.00,9.00,9.00," $326,700.00 ",7.00,2.00,No,Sí," $148,500.00 ",45.45%,Santa Anita ,SW + SYS Architecture,,,,,
2025,AI Training,General Physics,GPC971119H4,2.00,2.00,2.00," $10,073.92 ",2.00,0.00,Sí,No," $4,579.05 ",45.45%,Santa Anita ,Artificial intelligence,,,,,
2025,ECSE Troubleshooting,General Physics,GPC971119H4,2.00,1.00,1.00," $57,475.00 ",1.00,0.00,Sí,No," $26,125.00 ",45.45%,Santa Anita ,Otros ,,,,,
2025,QNX Hypervisor Overview,General Physics,GPC971119H4,3.00,2.00,2.00," $48,158.00 ",2.00,0.00,Sí,No," $21,890.00 ",45.45%,Santa Anita ,SW + SYS Architecture,,,,,
